conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.939, prec=0.910, rec=0.966, f1=0.937
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.910, prec=0.887, rec=0.927, f1=0.907
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.931, prec=0.900, rec=0.961, f1=0.929
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.913, prec=0.872, rec=0.955, f1=0.912
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.923, prec=0.907, rec=0.933, f1=0.920
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.918, prec=0.893, rec=0.938, f1=0.915
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.929, prec=0.913, rec=0.938, f1=0.925
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.923, prec=0.912, rec=0.927, f1=0.919
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.908, prec=0.913, rec=0.888, f1=0.900
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.953, prec=0.965, rec=0.933, f1=0.949
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.913, prec=0.901, rec=0.916, f1=0.908
conv=3, filters=64, kernel=3, dropout=0.1, dense=32, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.937, prec=0.948, rec=0.916, f1=0.931
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.923, prec=0.957, rec=0.876, f1=0.915
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.905, prec=0.862, rec=0.949, f1=0.904
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.900, prec=0.898, rec=0.888, f1=0.893
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.910, prec=0.904, rec=0.904, f1=0.904
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.923, prec=0.931, rec=0.904, f1=0.917
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.913, prec=0.896, rec=0.921, f1=0.909
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.881, prec=0.824, rec=0.949, f1=0.883
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.916, prec=0.910, rec=0.910, f1=0.910
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.910, prec=0.896, rec=0.916, f1=0.906
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.913, prec=0.892, rec=0.927, f1=0.909
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.945, prec=0.911, rec=0.978, f1=0.943
conv=3, filters=64, kernel=3, dropout=0.1, dense=64, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.939, prec=0.914, rec=0.961, f1=0.937
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.918, prec=0.920, rec=0.904, f1=0.912
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.908, prec=0.882, rec=0.927, f1=0.904
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.916, prec=0.915, rec=0.904, f1=0.910
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.931, prec=0.922, rec=0.933, f1=0.927
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.926, prec=0.931, rec=0.910, f1=0.920
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.918, prec=0.866, rec=0.978, f1=0.918
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.918, prec=0.889, rec=0.944, f1=0.916
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.908, prec=0.859, rec=0.961, f1=0.907
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.926, prec=0.946, rec=0.893, f1=0.919
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.934, prec=0.901, rec=0.966, f1=0.932
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.900, prec=0.868, rec=0.927, f1=0.897
conv=3, filters=64, kernel=3, dropout=0.1, dense=128, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.913, prec=0.896, rec=0.921, f1=0.909
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.926, prec=0.891, rec=0.961, f1=0.924
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.931, prec=0.918, rec=0.938, f1=0.928
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.929, prec=0.904, rec=0.949, f1=0.926
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.894, prec=0.883, rec=0.893, f1=0.888
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.942, prec=0.915, rec=0.966, f1=0.940
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.945, prec=0.915, rec=0.972, f1=0.943
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.905, prec=0.862, rec=0.949, f1=0.904
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.908, prec=0.856, rec=0.966, f1=0.908
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.929, prec=0.891, rec=0.966, f1=0.927
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.910, prec=0.891, rec=0.921, f1=0.906
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.879, prec=0.879, rec=0.860, f1=0.869
conv=3, filters=64, kernel=3, dropout=0.2, dense=32, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.923, prec=0.898, rec=0.944, f1=0.921
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.926, prec=0.921, rec=0.921, f1=0.921
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.945, prec=0.924, rec=0.961, f1=0.942
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.918, prec=0.873, rec=0.966, f1=0.917
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.910, prec=0.867, rec=0.955, f1=0.909
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.939, prec=0.906, rec=0.972, f1=0.938
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.926, prec=0.891, rec=0.961, f1=0.924
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.937, prec=0.923, rec=0.944, f1=0.933
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.939, prec=0.910, rec=0.966, f1=0.937
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.931, prec=0.900, rec=0.961, f1=0.929
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.960, prec=0.960, rec=0.955, f1=0.958
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.900, prec=0.889, rec=0.899, f1=0.894
conv=3, filters=64, kernel=3, dropout=0.2, dense=64, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.921, prec=0.911, rec=0.921, f1=0.916
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=32, bidirectional=True --> acc=0.921, prec=0.881, rec=0.961, f1=0.919
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=32, bidirectional=False --> acc=0.931, prec=0.927, rec=0.927, f1=0.927
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=32, bidirectional=True --> acc=0.926, prec=0.903, rec=0.944, f1=0.923
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=32, bidirectional=False --> acc=0.918, prec=0.881, rec=0.955, f1=0.916
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=64, bidirectional=True --> acc=0.926, prec=0.908, rec=0.938, f1=0.923
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=64, bidirectional=False --> acc=0.958, prec=0.935, rec=0.978, f1=0.956
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=64, bidirectional=True --> acc=0.942, prec=0.911, rec=0.972, f1=0.940
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=64, bidirectional=False --> acc=0.905, prec=0.855, rec=0.961, f1=0.905
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=128, bidirectional=True --> acc=0.879, prec=0.808, rec=0.972, f1=0.883
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=1, lstm_units=128, bidirectional=False --> acc=0.921, prec=0.878, rec=0.966, f1=0.920
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=128, bidirectional=True --> acc=0.923, prec=0.907, rec=0.933, f1=0.920
conv=3, filters=64, kernel=3, dropout=0.2, dense=128, pool=2, lstm_layers=2, lstm_units=128, bidirectional=False --> acc=0.905, prec=0.874, rec=0.933, f1=0.902
