conv_layers,filters,kernel_size,dropout_rate,dense_units,pool_size,accuracy,precision,recall,f1
1,32,3,0.1,32,2,0.7013888888888888,0.7515527950310559,0.5761904761904761,0.6522911051212938
1,32,3,0.1,32,3,0.7013888888888888,0.7368421052631579,0.6,0.6614173228346457
1,32,3,0.1,64,2,0.7152777777777778,0.7403314917127072,0.638095238095238,0.6854219948849105
1,32,3,0.1,64,3,0.7291666666666666,0.8079470198675497,0.580952380952381,0.6759002770083102
1,32,3,0.1,128,2,0.6875,0.7697841726618705,0.5095238095238095,0.6131805157593123
1,32,3,0.1,128,3,0.7430555555555556,0.8461538461538461,0.5761904761904761,0.6855524079320113
1,32,3,0.2,32,2,0.7384259259259259,0.8129032258064516,0.6,0.6904109589041096
1,32,3,0.2,32,3,0.6620370370370371,0.7025316455696202,0.5285714285714286,0.6032608695652174
1,32,3,0.2,64,2,0.7037037037037037,0.75625,0.5761904761904761,0.654054054054054
1,32,3,0.2,64,3,0.7222222222222222,0.7586206896551724,0.6285714285714286,0.6875
1,32,3,0.2,128,2,0.7037037037037037,0.75625,0.5761904761904761,0.654054054054054
1,32,3,0.2,128,3,0.7199074074074074,0.779874213836478,0.5904761904761905,0.6720867208672087
1,32,3,0.3,32,2,0.7546296296296297,0.7549019607843137,0.7333333333333333,0.7439613526570048
1,32,3,0.3,32,3,0.7337962962962963,0.7595628415300546,0.6619047619047619,0.7073791348600509
1,32,3,0.3,64,2,0.7615740740740741,0.7609756097560976,0.7428571428571429,0.7518072289156627
1,32,3,0.3,64,3,0.7013888888888888,0.7484662576687117,0.580952380952381,0.6541554959785523
1,32,3,0.3,128,2,0.7523148148148148,0.8011695906432749,0.6523809523809524,0.7191601049868767
1,32,3,0.3,128,3,0.6898148148148148,0.7567567567567568,0.5333333333333333,0.6256983240223464
1,32,5,0.1,32,2,0.7152777777777778,0.8,0.5523809523809524,0.6535211267605634
1,32,5,0.1,32,3,0.6782407407407407,0.7482517482517482,0.5095238095238095,0.6062322946175638
1,32,5,0.1,64,2,0.6828703703703703,0.7267080745341615,0.5571428571428572,0.6307277628032345
1,32,5,0.1,64,3,0.6921296296296297,0.7251461988304093,0.5904761904761905,0.6509186351706037
1,32,5,0.1,128,2,0.7268518518518519,0.7446808510638298,0.6666666666666666,0.7035175879396985
1,32,5,0.1,128,3,0.6666666666666666,0.6875,0.5761904761904761,0.6269430051813472
1,32,5,0.2,32,2,0.6851851851851852,0.7642857142857142,0.5095238095238095,0.6114285714285714
1,32,5,0.2,32,3,0.7129629629629629,0.7471264367816092,0.6190476190476191,0.6770833333333334
1,32,5,0.2,64,2,0.7106481481481481,0.7157360406091371,0.6714285714285714,0.6928746928746928
1,32,5,0.2,64,3,0.6666666666666666,0.7894736842105263,0.42857142857142855,0.5555555555555556
1,32,5,0.2,128,2,0.7453703703703703,0.7659574468085106,0.6857142857142857,0.7236180904522613
1,32,5,0.2,128,3,0.7638888888888888,0.8333333333333334,0.6428571428571429,0.7258064516129032
1,32,5,0.3,32,2,0.6666666666666666,0.7391304347826086,0.4857142857142857,0.5862068965517241
1,32,5,0.3,32,3,0.6921296296296297,0.7894736842105263,0.5,0.6122448979591837
1,32,5,0.3,64,2,0.7129629629629629,0.7415730337078652,0.6285714285714286,0.6804123711340206
1,32,5,0.3,64,3,0.6944444444444444,0.8095238095238095,0.4857142857142857,0.6071428571428571
1,32,5,0.3,128,2,0.7523148148148148,0.8083832335329342,0.6428571428571429,0.7161803713527851
1,32,5,0.3,128,3,0.6921296296296297,0.7391304347826086,0.5666666666666667,0.6415094339622641
1,32,7,0.1,32,2,0.7037037037037037,0.8306451612903226,0.49047619047619045,0.6167664670658682
1,32,7,0.1,32,3,0.6712962962962963,0.765625,0.4666666666666667,0.5798816568047337
1,32,7,0.1,64,2,0.7430555555555556,0.7647058823529411,0.680952380952381,0.7204030226700252
1,32,7,0.1,64,3,0.6898148148148148,0.7533333333333333,0.5380952380952381,0.6277777777777778
1,32,7,0.1,128,2,0.7314814814814815,0.8309859154929577,0.5619047619047619,0.6704545454545454
1,32,7,0.1,128,3,0.7291666666666666,0.8163265306122449,0.5714285714285714,0.6722689075630253
1,32,7,0.2,32,2,0.6574074074074074,0.7012987012987013,0.5142857142857142,0.5934065934065934
1,32,7,0.2,32,3,0.7060185185185185,0.782312925170068,0.5476190476190477,0.6442577030812325
1,32,7,0.2,64,2,0.7291666666666666,0.7597765363128491,0.6476190476190476,0.699228791773779
1,32,7,0.2,64,3,0.6990740740740741,0.7666666666666667,0.5476190476190477,0.6388888888888888
1,32,7,0.2,128,2,0.7152777777777778,0.7543859649122807,0.6142857142857143,0.6771653543307087
1,32,7,0.2,128,3,0.6944444444444444,0.7010309278350515,0.6476190476190476,0.6732673267326733
1,32,7,0.3,32,2,0.6967592592592593,0.7135135135135136,0.6285714285714286,0.6683544303797468
1,32,7,0.3,32,3,0.7337962962962963,0.7745664739884393,0.638095238095238,0.6997389033942559
1,32,7,0.3,64,2,0.7222222222222222,0.7960526315789473,0.5761904761904761,0.6685082872928176
1,32,7,0.3,64,3,0.7361111111111112,0.8428571428571429,0.5619047619047619,0.6742857142857143
1,32,7,0.3,128,2,0.7129629629629629,0.6919642857142857,0.7380952380952381,0.7142857142857143
1,32,7,0.3,128,3,0.6851851851851852,0.6697247706422018,0.6952380952380952,0.6822429906542056
1,64,3,0.1,32,2,0.7083333333333334,0.8134328358208955,0.5190476190476191,0.6337209302325582
1,64,3,0.1,32,3,0.6828703703703703,0.6931216931216931,0.6238095238095238,0.656641604010025
1,64,3,0.1,64,2,0.7361111111111112,0.7727272727272727,0.6476190476190476,0.7046632124352331
1,64,3,0.1,64,3,0.6875,0.7516778523489933,0.5333333333333333,0.6239554317548747
1,64,3,0.1,128,2,0.7361111111111112,0.7666666666666667,0.6571428571428571,0.7076923076923077
1,64,3,0.1,128,3,0.6875,0.6865671641791045,0.6571428571428571,0.6715328467153284
1,64,3,0.2,32,2,0.7453703703703703,0.7525252525252525,0.7095238095238096,0.7303921568627451
1,64,3,0.2,32,3,0.7083333333333334,0.75,0.6,0.6666666666666666
1,64,3,0.2,64,2,0.7106481481481481,0.7374301675977654,0.6285714285714286,0.6786632390745502
1,64,3,0.2,64,3,0.7199074074074074,0.8248175182481752,0.5380952380952381,0.6512968299711815
1,64,3,0.2,128,2,0.6481481481481481,0.6907894736842105,0.5,0.580110497237569
1,64,3,0.2,128,3,0.7662037037037037,0.7684729064039408,0.7428571428571429,0.7554479418886199
1,64,3,0.3,32,2,0.7476851851851852,0.7759562841530054,0.6761904761904762,0.72264631043257
1,64,3,0.3,32,3,0.7106481481481481,0.8057553956834532,0.5333333333333333,0.6418338108882522
1,64,3,0.3,64,2,0.7337962962962963,0.7411167512690355,0.6952380952380952,0.7174447174447175
1,64,3,0.3,64,3,0.6666666666666666,0.746268656716418,0.47619047619047616,0.5813953488372093
1,64,3,0.3,128,2,0.7268518518518519,0.7527472527472527,0.6523809523809524,0.6989795918367347
1,64,3,0.3,128,3,0.7199074074074074,0.7763975155279503,0.5952380952380952,0.6738544474393531
1,64,5,0.1,32,2,0.7222222222222222,0.7848101265822784,0.5904761904761905,0.6739130434782609
1,64,5,0.1,32,3,0.7569444444444444,0.8301886792452831,0.6285714285714286,0.7154471544715447
1,64,5,0.1,64,2,0.7314814814814815,0.75,0.6714285714285714,0.7085427135678392
1,64,5,0.1,64,3,0.7430555555555556,0.7828571428571428,0.6523809523809524,0.7116883116883117
1,64,5,0.1,128,2,0.6527777777777778,0.6485148514851485,0.6238095238095238,0.6359223300970874
1,64,5,0.1,128,3,0.6759259259259259,0.7134146341463414,0.5571428571428572,0.6256684491978609
1,64,5,0.2,32,2,0.6851851851851852,0.743421052631579,0.5380952380952381,0.6243093922651933
1,64,5,0.2,32,3,0.6921296296296297,0.6934673366834171,0.6571428571428571,0.6748166259168704
1,64,5,0.2,64,2,0.7199074074074074,0.8027210884353742,0.5619047619047619,0.6610644257703081
1,64,5,0.2,64,3,0.6689814814814815,0.6462882096069869,0.7047619047619048,0.6742596810933941
1,64,5,0.2,128,2,0.6805555555555556,0.711764705882353,0.5761904761904761,0.6368421052631579
1,64,5,0.2,128,3,0.7199074074074074,0.7431693989071039,0.6476190476190476,0.6921119592875318
1,64,5,0.3,32,2,0.7268518518518519,0.7233009708737864,0.7095238095238096,0.7163461538461539
1,64,5,0.3,32,3,0.7037037037037037,0.759493670886076,0.5714285714285714,0.6521739130434783
1,64,5,0.3,64,2,0.7152777777777778,0.848,0.5047619047619047,0.6328358208955224
1,64,5,0.3,64,3,0.6967592592592593,0.7206703910614525,0.6142857142857143,0.6632390745501285
1,64,5,0.3,128,2,0.6666666666666666,0.7171052631578947,0.5190476190476191,0.6022099447513812
1,64,5,0.3,128,3,0.7175925925925926,0.7528735632183908,0.6238095238095238,0.6822916666666666
1,64,7,0.1,32,2,0.6851851851851852,0.7202380952380952,0.5761904761904761,0.6402116402116402
1,64,7,0.1,32,3,0.7615740740740741,0.8203592814371258,0.6523809523809524,0.726790450928382
1,64,7,0.1,64,2,0.6203703703703703,0.5966386554621849,0.6761904761904762,0.6339285714285714
1,64,7,0.1,64,3,0.6828703703703703,0.6798029556650246,0.6571428571428571,0.6682808716707022
1,64,7,0.1,128,2,0.7523148148148148,0.7724867724867724,0.6952380952380952,0.731829573934837
1,64,7,0.1,128,3,0.6226851851851852,0.6230366492146597,0.5666666666666667,0.5935162094763092
1,64,7,0.2,32,2,0.7314814814814815,0.7797619047619048,0.6238095238095238,0.6931216931216931
1,64,7,0.2,32,3,0.7129629629629629,0.7866666666666666,0.5619047619047619,0.6555555555555556
1,64,7,0.2,64,2,0.7175925925925926,0.775,0.5904761904761905,0.6702702702702703
1,64,7,0.2,64,3,0.7314814814814815,0.8357142857142857,0.5571428571428572,0.6685714285714286
1,64,7,0.2,128,2,0.6851851851851852,0.7642857142857142,0.5095238095238095,0.6114285714285714
1,64,7,0.2,128,3,0.7037037037037037,0.7303370786516854,0.6190476190476191,0.6701030927835051
1,64,7,0.3,32,2,0.7199074074074074,0.7947019867549668,0.5714285714285714,0.6648199445983379
1,64,7,0.3,32,3,0.7384259259259259,0.8439716312056738,0.5666666666666667,0.6780626780626781
1,64,7,0.3,64,2,0.7037037037037037,0.7530864197530864,0.580952380952381,0.6559139784946236
1,64,7,0.3,64,3,0.6574074074074074,0.7348484848484849,0.46190476190476193,0.5672514619883041
