N_MFCC,duration,step,augment,batch_size,accuracy,precision,recall,f1
13,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7678100263852242,0.6991150442477876,0.8876404494382022,0.7821782178217822
13,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.762532981530343,0.705607476635514,0.848314606741573,0.7704081632653061
13,2.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7757255936675461,0.7409326424870466,0.8033707865168539,0.77088948787062
13,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7546174142480211,0.7297297297297297,0.7584269662921348,0.743801652892562
13,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.8153034300791556,0.7571428571428571,0.8932584269662921,0.8195876288659794
13,2.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.48284960422163586,0.47513812154696133,0.9662921348314607,0.6370370370370371
13,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7387862796833773,0.7182320441988951,0.7303370786516854,0.724233983286908
13,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7335092348284961,0.6742081447963801,0.8370786516853933,0.7468671679197995
13,2.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.7361477572559367,0.6911764705882353,0.7921348314606742,0.7382198952879581
13,2.0,1.0,None,8,0.8311345646437994,0.7740384615384616,0.9044943820224719,0.8341968911917098
13,2.0,1.0,None,16,0.8707124010554089,0.8524590163934426,0.8764044943820225,0.8642659279778393
13,2.0,1.0,None,32,0.7941952506596306,0.7450980392156863,0.8539325842696629,0.7958115183246073
13,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.694980694980695,0.6423841059602649,0.7950819672131147,0.7106227106227107
13,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7258687258687259,0.6834532374100719,0.7786885245901639,0.7279693486590039
13,2.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.5444015444015444,0.5096153846153846,0.8688524590163934,0.6424242424242425
13,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.7104247104247104,0.6793893129770993,0.7295081967213115,0.7035573122529645
13,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7142857142857143,0.6739130434782609,0.7622950819672131,0.7153846153846154
13,2.0,1.5,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.6833976833976834,0.6408450704225352,0.7459016393442623,0.6893939393939394
13,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7258687258687259,0.6917293233082706,0.7540983606557377,0.7215686274509804
13,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.47104247104247104,0.47104247104247104,1.0,0.6404199475065617
13,2.0,1.5,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.4671814671814672,0.46747967479674796,0.9426229508196722,0.625
13,2.0,1.5,None,8,0.7953667953667953,0.7254901960784313,0.9098360655737705,0.8072727272727273
13,2.0,1.5,None,16,0.7722007722007722,0.6981132075471698,0.9098360655737705,0.7900355871886121
13,2.0,1.5,None,32,0.7722007722007722,0.7114093959731543,0.8688524590163934,0.7822878228782287
13,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7164179104477612,0.69,0.7263157894736842,0.7076923076923077
13,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7562189054726368,0.7129629629629629,0.8105263157894737,0.7586206896551724
13,2.0,2.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.7910447761194029,0.7476635514018691,0.8421052631578947,0.7920792079207921
13,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.6915422885572139,0.6434782608695652,0.7789473684210526,0.7047619047619048
13,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.7114427860696517,0.6907216494845361,0.7052631578947368,0.6979166666666666
13,2.0,2.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7064676616915423,0.65,0.8210526315789474,0.7255813953488373
13,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7114427860696517,0.6796116504854369,0.7368421052631579,0.7070707070707071
13,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.7164179104477612,0.6862745098039216,0.7368421052631579,0.7106598984771574
13,2.0,2.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.4975124378109453,0.4835164835164835,0.9263157894736842,0.6353790613718412
13,2.0,2.0,None,8,0.7512437810945274,0.6956521739130435,0.8421052631578947,0.7619047619047619
13,2.0,2.0,None,16,0.8258706467661692,0.7830188679245284,0.8736842105263158,0.8258706467661692
13,2.0,2.0,None,32,0.8059701492537313,0.75,0.8842105263157894,0.8115942028985508
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7478753541076487,0.6727272727272727,0.896969696969697,0.7688311688311689
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.7648725212464589,0.7070707070707071,0.8484848484848485,0.7713498622589532
13,3.0,1.0,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.47592067988668557,0.47109826589595377,0.9878787878787879,0.6379647749510763
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",8,0.773371104815864,0.6976744186046512,0.9090909090909091,0.7894736842105263
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",16,0.8016997167138811,0.7567567567567568,0.8484848484848485,0.8
13,3.0,1.0,"{'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}",32,0.7478753541076487,0.69,0.8363636363636363,0.7561643835616438
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",8,0.7450424929178471,0.7388535031847133,0.703030303030303,0.7204968944099379
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",16,0.6997167138810199,0.6411483253588517,0.8121212121212121,0.7165775401069518
13,3.0,1.0,"{'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}",32,0.5325779036827195,0.0,0.0,0.0
13,3.0,1.0,None,8,0.8130311614730878,0.7368421052631579,0.9333333333333333,0.8235294117647058
13,3.0,1.0,None,16,0.8215297450424929,0.7428571428571429,0.9454545454545454,0.832
13,3.0,1.0,None,32,0.7903682719546742,0.7022222222222222,0.9575757575757575,0.8102564102564103
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",8,0.7892561983471075,0.7214285714285714,0.8938053097345132,0.7984189723320159
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",16,0.5454545454545454,0.5069767441860465,0.9646017699115044,0.6646341463414634
13,3.0,1.5,"{'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}",32,0.49173553719008267,0.47844827586206895,0.9823008849557522,0.6434782608695652
