duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.729, prec=0.672, rec=0.867, f1=0.757
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.840, prec=0.822, rec=0.857, f1=0.839
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.521, prec=0.504, rec=0.990, f1=0.668
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.729, prec=0.653, rec=0.943, f1=0.772
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.704, prec=0.697, rec=0.690, f1=0.694
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.498, prec=0.487, rec=0.633, f1=0.551
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.817, prec=0.810, rec=0.814, f1=0.812
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.766, prec=0.744, rec=0.790, f1=0.767
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.491, prec=0.488, rec=0.990, f1=0.654
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.685, prec=0.737, rec=0.548, f1=0.628
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.685, prec=0.683, rec=0.657, f1=0.670
duration=2.0, step=1.0,  MELS=64, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.836, prec=0.817, rec=0.852, f1=0.834
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.736, prec=0.656, rec=0.962, f1=0.780
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.484, prec=0.485, rec=0.995, f1=0.652
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.616, prec=0.565, rec=0.914, f1=0.698
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.708, prec=0.721, rec=0.652, f1=0.685
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.521, prec=0.504, rec=0.995, f1=0.669
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.741, prec=0.693, rec=0.838, f1=0.759
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.713, prec=0.648, rec=0.895, f1=0.752
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.750, prec=0.827, rec=0.614, f1=0.705
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.688, prec=0.687, rec=0.657, f1=0.672
duration=2.0, step=1.0,  MELS=128, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.657, prec=0.601, rec=0.876, f1=0.713
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.738, prec=0.696, rec=0.819, f1=0.753
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.725, prec=0.669, rec=0.857, f1=0.752
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.785, prec=0.767, rec=0.800, f1=0.783
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=8 --> acc=0.685, prec=0.633, rec=0.838, f1=0.721
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=16 --> acc=0.734, prec=0.702, rec=0.786, f1=0.742
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug={'noise': (0.005, 0.02), 'pitch': (-3, 3), 'stretch': (0.85, 1.15)}, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=8 --> acc=0.824, prec=0.789, rec=0.871, f1=0.828
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=16 --> acc=0.725, prec=0.708, rec=0.738, f1=0.723
duration=2.0, step=1.0,  MELS=256, FFT=2048, HOP=512, aug=None, batch=32 --> acc=0.486, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=8 --> acc=0.774, prec=0.726, rec=0.853, f1=0.785
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=16 --> acc=0.740, prec=0.690, rec=0.839, f1=0.757
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.01), 'pitch': (-1, 1), 'stretch': (0.95, 1.05)}, batch=32 --> acc=0.490, prec=0.486, rec=1.000, f1=0.654
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=8 --> acc=0.743, prec=0.668, rec=0.930, f1=0.778
duration=2.0, step=1.5,  MELS=64, FFT=2048, HOP=512, aug={'noise': (0.001, 0.015), 'pitch': (-2, 2), 'stretch': (0.9, 1.1)}, batch=16 --> acc=0.483, prec=0.483, rec=1.000, f1=0.651
