conv=2, filters=32, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.839, prec=0.803, rec=0.871, f1=0.836
conv=2, filters=32, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.839, prec=0.788, rec=0.899, f1=0.840
conv=2, filters=32, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.802, prec=0.719, rec=0.949, f1=0.818
conv=2, filters=32, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.836, prec=0.796, rec=0.876, f1=0.834
conv=2, filters=32, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.871, prec=0.939, rec=0.775, f1=0.849
conv=2, filters=32, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.876, prec=0.843, rec=0.904, f1=0.873
conv=2, filters=32, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.881, prec=0.848, rec=0.910, f1=0.878
conv=2, filters=32, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.844, prec=0.779, rec=0.933, f1=0.849
conv=2, filters=32, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.757, prec=0.667, rec=0.966, f1=0.789
conv=2, filters=32, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.884, prec=0.822, rec=0.961, f1=0.886
conv=2, filters=32, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.847, prec=0.812, rec=0.876, f1=0.843
conv=2, filters=32, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.887, prec=0.881, rec=0.876, f1=0.879
conv=2, filters=32, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.826, prec=0.750, rec=0.944, f1=0.836
conv=2, filters=32, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.826, prec=0.792, rec=0.854, f1=0.822
conv=2, filters=32, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.863, prec=0.806, rec=0.933, f1=0.865
conv=2, filters=32, kernel=3, dropout=0.3, dense=64, pool=3 --> acc=0.842, prec=0.804, rec=0.876, f1=0.839
conv=2, filters=32, kernel=3, dropout=0.3, dense=128, pool=2 --> acc=0.831, prec=0.791, rec=0.871, f1=0.829
conv=2, filters=32, kernel=3, dropout=0.3, dense=128, pool=3 --> acc=0.881, prec=0.841, rec=0.921, f1=0.879
conv=2, filters=32, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.842, prec=0.831, rec=0.831, f1=0.831
conv=2, filters=32, kernel=5, dropout=0.1, dense=32, pool=3 --> acc=0.876, prec=0.826, rec=0.933, f1=0.876
conv=2, filters=32, kernel=5, dropout=0.1, dense=64, pool=2 --> acc=0.865, prec=0.894, rec=0.809, f1=0.850
conv=2, filters=32, kernel=5, dropout=0.1, dense=64, pool=3 --> acc=0.902, prec=0.885, rec=0.910, f1=0.898
conv=2, filters=32, kernel=5, dropout=0.1, dense=128, pool=2 --> acc=0.847, prec=0.849, rec=0.820, f1=0.834
conv=2, filters=32, kernel=5, dropout=0.1, dense=128, pool=3 --> acc=0.887, prec=0.914, rec=0.837, f1=0.874
conv=2, filters=32, kernel=5, dropout=0.2, dense=32, pool=2 --> acc=0.910, prec=0.914, rec=0.893, f1=0.903
conv=2, filters=32, kernel=5, dropout=0.2, dense=32, pool=3 --> acc=0.873, prec=0.832, rec=0.916, f1=0.872
conv=2, filters=32, kernel=5, dropout=0.2, dense=64, pool=2 --> acc=0.852, prec=0.824, rec=0.871, f1=0.847
conv=2, filters=32, kernel=5, dropout=0.2, dense=64, pool=3 --> acc=0.818, prec=0.730, rec=0.972, f1=0.834
conv=2, filters=32, kernel=5, dropout=0.2, dense=128, pool=2 --> acc=0.865, prec=0.822, rec=0.910, f1=0.864
conv=2, filters=32, kernel=5, dropout=0.2, dense=128, pool=3 --> acc=0.905, prec=0.874, rec=0.933, f1=0.902
conv=2, filters=32, kernel=5, dropout=0.3, dense=32, pool=2 --> acc=0.839, prec=0.767, rec=0.944, f1=0.846
conv=2, filters=32, kernel=5, dropout=0.3, dense=32, pool=3 --> acc=0.834, prec=0.767, rec=0.927, f1=0.840
conv=2, filters=32, kernel=5, dropout=0.3, dense=64, pool=2 --> acc=0.863, prec=0.818, rec=0.910, f1=0.862
conv=2, filters=32, kernel=5, dropout=0.3, dense=64, pool=3 --> acc=0.876, prec=0.836, rec=0.916, f1=0.874
conv=2, filters=32, kernel=5, dropout=0.3, dense=128, pool=2 --> acc=0.871, prec=0.815, rec=0.938, f1=0.872
conv=2, filters=32, kernel=5, dropout=0.3, dense=128, pool=3 --> acc=0.858, prec=0.830, rec=0.876, f1=0.852
conv=2, filters=32, kernel=7, dropout=0.1, dense=32, pool=2 --> acc=0.879, prec=0.863, rec=0.882, f1=0.872
conv=2, filters=32, kernel=7, dropout=0.1, dense=32, pool=3 --> acc=0.889, prec=0.837, rec=0.949, f1=0.889
conv=2, filters=32, kernel=7, dropout=0.1, dense=64, pool=2 --> acc=0.894, prec=0.875, rec=0.904, f1=0.890
conv=2, filters=32, kernel=7, dropout=0.1, dense=64, pool=3 --> acc=0.876, prec=0.928, rec=0.798, f1=0.858
conv=2, filters=32, kernel=7, dropout=0.1, dense=128, pool=2 --> acc=0.873, prec=0.839, rec=0.904, f1=0.870
conv=2, filters=32, kernel=7, dropout=0.1, dense=128, pool=3 --> acc=0.847, prec=0.800, rec=0.899, f1=0.847
conv=2, filters=32, kernel=7, dropout=0.2, dense=32, pool=2 --> acc=0.873, prec=0.857, rec=0.876, f1=0.867
conv=2, filters=32, kernel=7, dropout=0.2, dense=32, pool=3 --> acc=0.902, prec=0.869, rec=0.933, f1=0.900
conv=2, filters=32, kernel=7, dropout=0.2, dense=64, pool=2 --> acc=0.871, prec=0.845, rec=0.888, f1=0.866
conv=2, filters=32, kernel=7, dropout=0.2, dense=64, pool=3 --> acc=0.889, prec=0.862, rec=0.910, f1=0.885
conv=2, filters=32, kernel=7, dropout=0.2, dense=128, pool=2 --> acc=0.889, prec=0.874, rec=0.893, f1=0.883
