conv=3, filters=32, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.858, prec=0.782, rec=0.966, f1=0.864
conv=3, filters=32, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.821, prec=0.857, rec=0.742, f1=0.795
conv=3, filters=32, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.894, prec=0.867, rec=0.916, f1=0.891
conv=3, filters=32, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.839, prec=0.797, rec=0.882, f1=0.837
conv=3, filters=32, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.900, prec=0.927, rec=0.854, f1=0.889
conv=3, filters=32, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.847, prec=0.837, rec=0.837, f1=0.837
conv=3, filters=32, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.868, prec=0.868, rec=0.848, f1=0.858
conv=3, filters=32, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.781, prec=0.757, rec=0.787, f1=0.771
conv=3, filters=32, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.844, prec=0.865, rec=0.792, f1=0.827
conv=3, filters=32, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.797, prec=0.789, rec=0.775, f1=0.782
conv=3, filters=32, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.876, prec=0.843, rec=0.904, f1=0.873
conv=3, filters=32, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.810, prec=0.770, rec=0.848, f1=0.807
conv=3, filters=32, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.797, prec=0.767, rec=0.815, f1=0.790
conv=3, filters=32, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.763, prec=0.729, rec=0.787, f1=0.757
conv=3, filters=32, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.813, prec=0.726, rec=0.966, f1=0.829
