conv=1, filters=32, kernel=3, dropout=0.1, dense=32, pool=2 --> acc=0.805, prec=0.813, rec=0.758, f1=0.785
conv=1, filters=32, kernel=3, dropout=0.1, dense=32, pool=3 --> acc=0.792, prec=0.793, rec=0.753, f1=0.772
conv=1, filters=32, kernel=3, dropout=0.1, dense=64, pool=2 --> acc=0.815, prec=0.829, rec=0.764, f1=0.795
conv=1, filters=32, kernel=3, dropout=0.1, dense=64, pool=3 --> acc=0.826, prec=0.846, rec=0.770, f1=0.806
conv=1, filters=32, kernel=3, dropout=0.1, dense=128, pool=2 --> acc=0.823, prec=0.849, rec=0.758, f1=0.801
conv=1, filters=32, kernel=3, dropout=0.1, dense=128, pool=3 --> acc=0.839, prec=0.831, rec=0.826, f1=0.828
conv=1, filters=32, kernel=3, dropout=0.2, dense=32, pool=2 --> acc=0.813, prec=0.806, rec=0.792, f1=0.799
conv=1, filters=32, kernel=3, dropout=0.2, dense=32, pool=3 --> acc=0.813, prec=0.806, rec=0.792, f1=0.799
conv=1, filters=32, kernel=3, dropout=0.2, dense=64, pool=2 --> acc=0.839, prec=0.846, rec=0.803, f1=0.824
conv=1, filters=32, kernel=3, dropout=0.2, dense=64, pool=3 --> acc=0.826, prec=0.837, rec=0.781, f1=0.808
conv=1, filters=32, kernel=3, dropout=0.2, dense=128, pool=2 --> acc=0.828, prec=0.838, rec=0.787, f1=0.812
conv=1, filters=32, kernel=3, dropout=0.2, dense=128, pool=3 --> acc=0.844, prec=0.840, rec=0.826, f1=0.833
conv=1, filters=32, kernel=3, dropout=0.3, dense=32, pool=2 --> acc=0.805, prec=0.833, rec=0.730, f1=0.778
conv=1, filters=32, kernel=3, dropout=0.3, dense=32, pool=3 --> acc=0.839, prec=0.834, rec=0.820, f1=0.827
conv=1, filters=32, kernel=3, dropout=0.3, dense=64, pool=2 --> acc=0.839, prec=0.863, rec=0.781, f1=0.820
conv=1, filters=32, kernel=3, dropout=0.3, dense=64, pool=3 --> acc=0.834, prec=0.844, rec=0.792, f1=0.817
conv=1, filters=32, kernel=3, dropout=0.3, dense=128, pool=2 --> acc=0.813, prec=0.841, rec=0.742, f1=0.788
conv=1, filters=32, kernel=3, dropout=0.3, dense=128, pool=3 --> acc=0.815, prec=0.821, rec=0.775, f1=0.798
conv=1, filters=32, kernel=5, dropout=0.1, dense=32, pool=2 --> acc=0.821, prec=0.857, rec=0.742, f1=0.795
conv=1, filters=32, kernel=5, dropout=0.1, dense=32, pool=3 --> acc=0.831, prec=0.848, rec=0.781, f1=0.813
conv=1, filters=32, kernel=5, dropout=0.1, dense=64, pool=2 --> acc=0.821, prec=0.831, rec=0.775, f1=0.802
conv=1, filters=32, kernel=5, dropout=0.1, dense=64, pool=3 --> acc=0.831, prec=0.843, rec=0.787, f1=0.814
conv=1, filters=32, kernel=5, dropout=0.1, dense=128, pool=2 --> acc=0.844, prec=0.870, rec=0.787, f1=0.826
conv=1, filters=32, kernel=5, dropout=0.1, dense=128, pool=3 --> acc=0.868, prec=0.905, rec=0.803, f1=0.851
conv=1, filters=32, kernel=5, dropout=0.2, dense=32, pool=2 --> acc=0.815, prec=0.810, rec=0.792, f1=0.801
conv=1, filters=32, kernel=5, dropout=0.2, dense=32, pool=3 --> acc=0.850, prec=0.881, rec=0.787, f1=0.831
conv=1, filters=32, kernel=5, dropout=0.2, dense=64, pool=2 --> acc=0.813, prec=0.828, rec=0.758, f1=0.792
conv=1, filters=32, kernel=5, dropout=0.2, dense=64, pool=3 --> acc=0.871, prec=0.906, rec=0.809, f1=0.855
conv=1, filters=32, kernel=5, dropout=0.2, dense=128, pool=2 --> acc=0.831, prec=0.843, rec=0.787, f1=0.814
conv=1, filters=32, kernel=5, dropout=0.2, dense=128, pool=3 --> acc=0.858, prec=0.887, rec=0.798, f1=0.840
conv=1, filters=32, kernel=5, dropout=0.3, dense=32, pool=2 --> acc=0.842, prec=0.831, rec=0.831, f1=0.831
conv=1, filters=32, kernel=5, dropout=0.3, dense=32, pool=3 --> acc=0.847, prec=0.841, rec=0.831, f1=0.836
conv=1, filters=32, kernel=5, dropout=0.3, dense=64, pool=2 --> acc=0.834, prec=0.853, rec=0.781, f1=0.815
conv=1, filters=32, kernel=5, dropout=0.3, dense=64, pool=3 --> acc=0.844, prec=0.840, rec=0.826, f1=0.833
conv=1, filters=32, kernel=5, dropout=0.3, dense=128, pool=2 --> acc=0.836, prec=0.863, rec=0.775, f1=0.817
conv=1, filters=32, kernel=5, dropout=0.3, dense=128, pool=3 --> acc=0.852, prec=0.863, rec=0.815, f1=0.838
conv=1, filters=32, kernel=7, dropout=0.1, dense=32, pool=2 --> acc=0.818, prec=0.834, rec=0.764, f1=0.798
conv=1, filters=32, kernel=7, dropout=0.1, dense=32, pool=3 --> acc=0.826, prec=0.841, rec=0.775, f1=0.807
conv=1, filters=32, kernel=7, dropout=0.1, dense=64, pool=2 --> acc=0.834, prec=0.876, rec=0.753, f1=0.810
conv=1, filters=32, kernel=7, dropout=0.1, dense=64, pool=3 --> acc=0.850, prec=0.871, rec=0.798, f1=0.833
conv=1, filters=32, kernel=7, dropout=0.1, dense=128, pool=2 --> acc=0.818, prec=0.830, rec=0.770, f1=0.799
conv=1, filters=32, kernel=7, dropout=0.1, dense=128, pool=3 --> acc=0.836, prec=0.858, rec=0.781, f1=0.818
conv=1, filters=32, kernel=7, dropout=0.2, dense=32, pool=2 --> acc=0.799, prec=0.875, rec=0.669, f1=0.758
conv=1, filters=32, kernel=7, dropout=0.2, dense=32, pool=3 --> acc=0.847, prec=0.880, rec=0.781, f1=0.827
conv=1, filters=32, kernel=7, dropout=0.2, dense=64, pool=2 --> acc=0.842, prec=0.843, rec=0.815, f1=0.829
conv=1, filters=32, kernel=7, dropout=0.2, dense=64, pool=3 --> acc=0.860, prec=0.888, rec=0.803, f1=0.844
conv=1, filters=32, kernel=7, dropout=0.2, dense=128, pool=2 --> acc=0.834, prec=0.818, rec=0.831, f1=0.825
conv=1, filters=32, kernel=7, dropout=0.2, dense=128, pool=3 --> acc=0.852, prec=0.863, rec=0.815, f1=0.838
conv=1, filters=32, kernel=7, dropout=0.3, dense=32, pool=2 --> acc=0.855, prec=0.877, rec=0.803, f1=0.839
